iter	Passed	Remaining
0	1	132
1	2	121
2	3	113
3	4	105
4	5	105
5	6	103
6	7	102
7	9	104
8	10	103
9	11	103
10	12	103
11	13	102
12	14	100
13	16	98
14	17	97
15	18	96
16	19	94
17	20	93
18	21	91
19	22	91
20	24	91
21	25	91
22	27	90
23	28	89
24	29	88
25	30	87
26	32	86
27	33	85
28	34	84
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	76
37	46	75
38	47	73
39	48	72
40	49	71
41	50	69
42	51	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	62
48	59	61
49	60	60
50	61	58
51	62	57
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	41
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	101	19
84	102	18
85	104	16
86	105	15
87	107	14
88	108	13
89	109	12
90	111	11
91	112	9
92	113	8
93	114	7
94	116	6
95	117	4
96	118	3
97	120	2
98	122	1
99	123	0
